tau_over_spot,k,spread,contract,windows,trade_rate,buy_share_active,unconditional_pnl_over_spot,active_win_rate,mean_p_se_over_spot,mean_q_se_over_spot,mean_joint_se_over_spot
0.0025,0.0,0.05,asian_call,6824,0.6126905041031653,0.6797416885912461,0.006903181432381266,0.5450849079167663,0.0038236730308314026,0.001982245873053361,0.0043419682378325625
0.0025,0.0,0.05,lookback_call,6824,0.751905041031653,0.4250633404794387,0.0049765411074377515,0.5497953615279673,0.0063417937767439436,0.004052664535382487,0.007604779748810406
0.0025,0.0,0.05,vanilla_call,6824,0.7286049237983587,0.5949316170555109,0.012015205158690619,0.5667739340305712,0.006575821863321489,0.003860223371594155,0.007700348601805544
0.0025,1.0,0.05,asian_call,6824,0.259232121922626,0.7105709440361786,0.004494830693791638,0.5692481628038439,0.0038236730308314026,0.001982245873053361,0.0043419682378325625
0.0025,1.0,0.05,lookback_call,6824,0.37719812426729193,0.3609168609168609,0.003019655951276718,0.5726495726495726,0.0063417937767439436,0.004052664535382487,0.007604779748810406
0.0025,1.0,0.05,vanilla_call,6824,0.32590855803048063,0.6110611510791367,0.008559452245488468,0.6061151079136691,0.006575821863321489,0.003860223371594155,0.007700348601805544
0.0025,1.96,0.05,asian_call,6824,0.0764947245017585,0.7490421455938697,0.001761649993264368,0.5555555555555556,0.0038236730308314026,0.001982245873053361,0.0043419682378325625
0.0025,1.96,0.05,lookback_call,6824,0.15914419695193435,0.23664825046040516,0.001296444447101217,0.5865561694290976,0.0063417937767439436,0.004052664535382487,0.007604779748810406
0.0025,1.96,0.05,vanilla_call,6824,0.10975967174677609,0.6288384512683578,0.003782761490568136,0.6194926568758344,0.006575821863321489,0.003860223371594155,0.007700348601805544
0.005,0.0,0.05,asian_call,6824,0.3710433763188746,0.7132701421800948,0.005833132828633768,0.565955766192733,0.0038236730308314026,0.001982245873053361,0.0043419682378325625
0.005,0.0,0.05,lookback_call,6824,0.5866060961313013,0.39720209842618037,0.004210696368910028,0.5575818136397702,0.0063417937767439436,0.004052664535382487,0.007604779748810406
0.005,0.0,0.05,vanilla_call,6824,0.5549531066822978,0.6010034327964088,0.011126602604606944,0.5854238183258516,0.006575821863321489,0.003860223371594155,0.007700348601805544
0.005,1.0,0.05,asian_call,6824,0.13452520515826494,0.7505446623093682,0.0031817767574410932,0.5893246187363834,0.0038236730308314026,0.001982245873053361,0.0043419682378325625
0.005,1.0,0.05,lookback_call,6824,0.2756447831184056,0.31525784157363107,0.002164682542255415,0.570441254651781,0.0063417937767439436,0.004052664535382487,0.007604779748810406
0.005,1.0,0.05,vanilla_call,6824,0.2250879249706917,0.6334635416666666,0.007074225257524866,0.6184895833333334,0.006575821863321489,0.003860223371594155,0.007700348601805544
0.005,1.96,0.05,asian_call,6824,0.04191090269636577,0.7937062937062938,0.0010333163486641727,0.5384615384615384,0.0038236730308314026,0.001982245873053361,0.0043419682378325625
